".\VolumeSampling.exe -i .\model1.obj -o model1.vtk --viscosity 0.05 -r 0.03 -s "0.74 0.74 0.74""
"id","Points:0","Points:1","Points:2"
159,0.280188,-0.191615,-0.553862
160,0.333736,-0.192502,-0.549976
161,0.384722,-0.191591,-0.548045
162,0.440711,-0.190326,-0.549983
163,0.480296,-0.190615,-0.519217
164,-0.518263,-0.148788,-0.480786
165,-0.472889,-0.150056,-0.475
166,-0.419615,-0.151314,-0.475
167,-0.370155,-0.151201,-0.475
168,-0.321783,-0.146863,-0.475
169,-0.274278,-0.141541,-0.475
170,-0.222012,-0.141918,-0.475
171,-0.170731,-0.149153,-0.475
172,-0.116295,-0.154668,-0.48933
173,-0.060134,-0.159874,-0.49275
174,-0.0209508,-0.149061,-0.477416
175,0.0275512,-0.154816,-0.481747
176,0.082126,-0.1581,-0.475766
177,0.138075,-0.155445,-0.445842
178,0.165168,-0.163666,-0.428202
179,0.223219,-0.152447,-0.51919
180,0.259202,-0.152029,-0.548995
181,0.309326,-0.151839,-0.543911
182,0.360136,-0.151222,-0.536218
183,0.411739,-0.150153,-0.539727
184,0.466736,-0.149204,-0.544186
185,0.476195,-0.149052,-0.508147
186,-0.511759,-0.106486,-0.477568
187,-0.450269,-0.107698,-0.475
188,-0.392448,-0.105562,-0.475
189,-0.339472,-0.102778,-0.475
190,-0.291967,-0.0992962,-0.475
191,-0.246734,-0.100112,-0.475
192,-0.201727,-0.0976464,-0.475
193,-0.154032,-0.0903094,-0.475
194,-0.0874773,-0.127492,-0.490728
195,-0.0414276,-0.107964,-0.493221
196,0.00685532,-0.110966,-0.492073
197,0.0546817,-0.101413,-0.490033
198,0.103103,-0.100616,-0.466072
199,0.157172,-0.105508,-0.488595
200,0.210638,-0.108261,-0.493691
201,0.266799,-0.130332,-0.5147
202,0.283408,-0.106562,-0.552959
203,0.333471,-0.111341,-0.55494
204,0.38482,-0.108968,-0.550894
205,0.440584,-0.108158,-0.553282
206,0.480275,-0.107668,-0.52115
207,-0.521891,-0.0661406,-0.480117
208,-0.473326,-0.0669068,-0.475
209,-0.420661,-0.0672104,-0.475
210,-0.368654,-0.065745,-0.475
211,-0.319164,-0.0633908,-0.475
212,-0.269366,-0.0625103,-0.475
213,-0.221788,-0.0617185,-0.475
214,-0.173994,-0.0566703,-0.475
215,-0.124364,-0.0559757,-0.475
216,-0.0711819,-0.0594205,-0.474789
217,-0.0262994,-0.0722838,-0.486205
218,0.0270078,-0.0726849,-0.489568
219,0.0783698,-0.0668202,-0.474606
220,0.122727,-0.0733468,-0.497563
221,0.182642,-0.0744334,-0.490222
222,0.227539,-0.0706283,-0.480277
223,0.269994,-0.0688687,-0.527031
224,0.313693,-0.0696272,-0.548555
225,0.362357,-0.0667637,-0.540523
226,0.413019,-0.0669685,-0.541578
227,0.46621,-0.0665614,-0.546977
228,0.477599,-0.0658171,-0.511819
229,-0.512213,-0.0242485,-0.477791
230,-0.450724,-0.0238724,-0.475
231,-0.39206,-0.0235242,-0.475
232,-0.339053,-0.0227321,-0.475
233,-0.289077,-0.0243135,-0.475
234,-0.241895,-0.0230902,-0.475
235,-0.197243,-0.0215506,-0.475
236,-0.15072,-0.0144504,-0.475
237,-0.103391,-0.017232,-0.475
238,-0.0568142,-0.00390532,-0.475
239,0.00436365,-0.0414634,-0.490216
240,0.0493058,-0.0325885,-0.495277
241,0.0911675,-0.0267859,-0.494751
242,0.148593,-0.0119919,-0.472028
243,0.196681,-0.018272,-0.443529
244,0.245183,-0.0355313,-0.492566
245,0.300935,-0.0284282,-0.552274
246,0.342401,-0.0226778,-0.558777
247,0.389569,-0.0247235,-0.553422
248,0.442135,-0.0241603,-0.554609
249,0.480898,-0.0244922,-0.522544
250,-0.521126,0.0178055,-0.48037
251,-0.473579,0.0179962,-0.475
252,-0.420134,0.0176306,-0.475
253,-0.366777,0.0172104,-0.475
254,-0.31609,0.0171811,-0.475
255,-0.269574,0.0160334,-0.475
256,-0.221414,0.016606,-0.475
257,-0.17402,0.0199059,-0.475
258,-0.122684,0.0223186,-0.475
259,-0.0789079,0.0290374,-0.475
